State,program,.,letter,digit,[,],var,;,,:,Integer,Boolean,begin,end,:=,read,write,while_statement,if,then,else,while,do,+,-,*,TRUE,FALSE,>,>=,=,<=,<,$,PR,identifier,indentifier',identifier',block,var_declaration_section,var_declaration_section',var_declaration,type,compound_statement,compound_statement',compound_statement-,statement,simple_statement,assignment_statement,read_statement,write_statement,structured_statement,if_statement,while_statemnet,expression,arithmetic_expression,term,factor,literal,integer_literal,boolean_literal,boolean_expression
68,,r42,s3,s47,r42,r42,,r42,,,,,,,,,,,,r42,,,r42,r42,r42,r42,,,r42,r42,r42,r42,r42,,,55,,,,,,,,,,,,,,,,,,,,,77,54,,56,,
69,,r42,s3,s47,r42,r42,,r42,,,,,,,,,,,,r42,,,r42,r42,r42,r42,,,r42,r42,r42,r42,r42,,,55,,,,,,,,,,,,,,,,,,,,,78,54,,56,,
70,,r42,s3,s47,r42,r42,,r42,,,,,,,,,,,,r42,,,r42,r42,r42,r42,,,r42,r42,r42,r42,r42,,,55,,,,,,,,,,,,,,,,,,,,,,79,,56,,
71,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,r46,,,r46,r46,,r46,,,,,,,,,,,,r46,,,r46,s68,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,r47,,,r47,r47,,r47,,,,,,,,,,,,r47,,,r47,s68,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,r48,,,r48,r48,,r48,,,,,,,,,,,,r48,,,r48,s68,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,r49,,,r49,r49,,r49,,,,,,,,,,,,r49,,,r49,s68,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,r50,,,r50,r50,,r50,,,,,,,,,,,,r50,,,r50,s68,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,r32,,,r32,r32,,r32,,,,,,,,,,,,r32,,,r32,r32,r32,s70,,,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,r33,,,r33,r33,,r33,,,,,,,,,,,,r33,,,r33,r33,r33,s70,,,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,r35,,,r35,r35,,r35,,,,,,,,,,,,r35,,,r35,r35,r35,r35,,,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,s81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,s3,,,,,,,,,,s19,,,s37,s38,s34,s39,,,,,,,,,,,,,,,,,36,,,,,,,,35,,,82,28,30,31,32,29,33,,,,,,,,,
82,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,r28,,,r28,r28,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
